sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_204,0.222,0.267,0.242
FAVITES_output_logSI_contemp_T200_N100_E1_206,0.179,0.179,0.179
FAVITES_output_logSI_contemp_T200_N100_E1_207,0.182,0.190,0.186
FAVITES_output_logSI_contemp_T200_N100_E1_208,0.429,0.484,0.455
FAVITES_output_logSI_contemp_T200_N100_E1_209,0.208,0.244,0.225
FAVITES_output_logSI_contemp_T200_N100_E1_210,0.125,0.143,0.133
FAVITES_output_logSI_contemp_T200_N100_E1_211,0.300,0.300,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_212,0.243,0.281,0.261
FAVITES_output_logSI_contemp_T200_N100_E1_213,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_214,0.270,0.286,0.278
FAVITES_output_logSI_contemp_T200_N100_E1_216,0.138,0.167,0.151
FAVITES_output_logSI_contemp_T200_N100_E1_217,0.136,0.143,0.140
FAVITES_output_logSI_contemp_T200_N100_E1_218,0.267,0.333,0.296
FAVITES_output_logSI_contemp_T200_N100_E1_219,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_220,0.235,0.235,0.235
FAVITES_output_logSI_contemp_T200_N100_E1_221,0.300,0.324,0.312
FAVITES_output_logSI_contemp_T200_N100_E1_222,0.222,0.267,0.242
FAVITES_output_logSI_contemp_T200_N100_E1_223,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_224,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_225,0.091,0.100,0.095
FAVITES_output_logSI_contemp_T200_N100_E1_226,0.500,1.000,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_227,0.100,0.100,0.100
FAVITES_output_logSI_contemp_T200_N100_E1_228,0.091,0.100,0.095
FAVITES_output_logSI_contemp_T200_N100_E1_229,0.265,0.271,0.268
FAVITES_output_logSI_contemp_T200_N100_E1_230,0.162,0.194,0.176
FAVITES_output_logSI_contemp_T200_N100_E1_231,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_232,0.125,0.125,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_233,0.211,0.222,0.216
FAVITES_output_logSI_contemp_T200_N100_E1_234,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_235,0.333,0.500,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_236,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_237,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_238,0.139,0.161,0.149
FAVITES_output_logSI_contemp_T200_N100_E1_239,0.333,1.000,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_240,0.333,0.421,0.372
FAVITES_output_logSI_contemp_T200_N100_E1_241,0.143,0.154,0.148
FAVITES_output_logSI_contemp_T200_N100_E1_243,0.300,0.300,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_244,0.400,0.500,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_245,0.197,0.214,0.205
FAVITES_output_logSI_contemp_T200_N100_E1_246,0.167,0.179,0.173
FAVITES_output_logSI_contemp_T200_N100_E1_247,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_248,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_249,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_250,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_251,0.500,1.000,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_252,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_253,0.270,0.303,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_254,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_255,0.129,0.133,0.131
FAVITES_output_logSI_contemp_T200_N100_E1_256,0.188,0.200,0.194
FAVITES_output_logSI_contemp_T200_N100_E1_259,0.222,0.222,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_260,0.163,0.175,0.169
FAVITES_output_logSI_contemp_T200_N100_E1_261,0.308,0.333,0.320
FAVITES_output_logSI_contemp_T200_N100_E1_262,0.345,0.385,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_263,0.214,0.231,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_264,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_267,0.333,0.400,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_268,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_269,0.217,0.238,0.227
FAVITES_output_logSI_contemp_T200_N100_E1_270,0.300,0.316,0.308
FAVITES_output_logSI_contemp_T200_N100_E1_271,0.250,0.267,0.258
FAVITES_output_logSI_contemp_T200_N100_E1_272,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_274,0.286,0.667,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_275,0.143,0.182,0.160
FAVITES_output_logSI_contemp_T200_N100_E1_276,0.385,0.417,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_277,0.203,0.217,0.210
FAVITES_output_logSI_contemp_T200_N100_E1_278,0.500,1.000,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_281,0.167,0.211,0.186
FAVITES_output_logSI_contemp_T200_N100_E1_282,0.143,0.167,0.154
FAVITES_output_logSI_contemp_T200_N100_E1_283,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_284,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_285,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_286,0.167,0.200,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_287,0.250,0.333,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_288,0.148,0.174,0.160
FAVITES_output_logSI_contemp_T200_N100_E1_290,0.235,0.267,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_291,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_292,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_293,0.071,0.100,0.083
FAVITES_output_logSI_contemp_T200_N100_E1_294,0.167,0.182,0.174
FAVITES_output_logSI_contemp_T200_N100_E1_295,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_296,0.194,0.222,0.207
FAVITES_output_logSI_contemp_T200_N100_E1_298,0.304,0.368,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_299,0.121,0.148,0.133
FAVITES_output_logSI_contemp_T200_N100_E1_300,0.205,0.216,0.211
FAVITES_output_logSI_contemp_T200_N100_E1_301,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_302,0.125,0.148,0.136
FAVITES_output_logSI_contemp_T200_N100_E1_303,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_304,0.200,0.235,0.216
FAVITES_output_logSI_contemp_T200_N100_E1_305,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_306,0.277,0.302,0.289
FAVITES_output_logSI_contemp_T200_N100_E1_307,0.286,0.400,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_308,0.250,0.276,0.262
FAVITES_output_logSI_contemp_T200_N100_E1_309,0.143,0.200,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_310,0.417,0.417,0.417
FAVITES_output_logSI_contemp_T200_N100_E1_311,0.286,0.312,0.299
FAVITES_output_logSI_contemp_T200_N100_E1_312,0.133,0.150,0.141
FAVITES_output_logSI_contemp_T200_N100_E1_314,0.429,0.500,0.462
FAVITES_output_logSI_contemp_T200_N100_E1_315,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_316,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_317,0.231,0.245,0.238
FAVITES_output_logSI_contemp_T200_N100_E1_318,0.125,0.167,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_319,0.269,0.269,0.269
FAVITES_output_logSI_contemp_T200_N100_E1_320,0.282,0.333,0.306
FAVITES_output_logSI_contemp_T200_N100_E1_322,0.148,0.167,0.157
FAVITES_output_logSI_contemp_T200_N100_E1_323,0.171,0.214,0.190
FAVITES_output_logSI_contemp_T200_N100_E1_324,0.300,0.316,0.308
FAVITES_output_logSI_contemp_T200_N100_E1_325,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_326,0.350,0.359,0.354
FAVITES_output_logSI_contemp_T200_N100_E1_327,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_328,0.359,0.389,0.373
FAVITES_output_logSI_contemp_T200_N100_E1_329,0.600,0.750,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_330,0.133,0.174,0.151
FAVITES_output_logSI_contemp_T200_N100_E1_331,0.444,0.471,0.457
FAVITES_output_logSI_contemp_T200_N100_E1_332,0.172,0.250,0.204
FAVITES_output_logSI_contemp_T200_N100_E1_333,0.158,0.167,0.162
FAVITES_output_logSI_contemp_T200_N100_E1_334,0.250,0.286,0.267
FAVITES_output_logSI_contemp_T200_N100_E1_335,0.133,0.143,0.138
FAVITES_output_logSI_contemp_T200_N100_E1_336,0.800,0.800,0.800
FAVITES_output_logSI_contemp_T200_N100_E1_337,0.160,0.170,0.165
FAVITES_output_logSI_contemp_T200_N100_E1_338,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_339,0.200,0.211,0.205
FAVITES_output_logSI_contemp_T200_N100_E1_340,0.173,0.184,0.178
FAVITES_output_logSI_contemp_T200_N100_E1_341,0.375,0.409,0.391
FAVITES_output_logSI_contemp_T200_N100_E1_342,0.000,0.000,0.000
