sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_281,0.458,0.458,0.458
FAVITES_output_logSI_contemp_T200_N100_E1_282,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_283,0.600,0.600,0.600
FAVITES_output_logSI_contemp_T200_N100_E1_285,0.222,0.222,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_286,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_287,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_290,0.471,0.471,0.471
FAVITES_output_logSI_contemp_T200_N100_E1_291,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_293,0.429,0.429,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_298,0.435,0.435,0.435
FAVITES_output_logSI_contemp_T200_N100_E1_301,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_304,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_305,0.167,0.167,0.167
FAVITES_output_logSI_contemp_T200_N100_E1_307,0.429,0.429,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_309,0.571,0.571,0.571
FAVITES_output_logSI_contemp_T200_N100_E1_310,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_314,0.143,0.143,0.143
FAVITES_output_logSI_contemp_T200_N100_E1_315,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_316,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_318,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_319,0.269,0.269,0.269
FAVITES_output_logSI_contemp_T200_N100_E1_322,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_324,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_325,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_329,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_331,0.389,0.389,0.389
FAVITES_output_logSI_contemp_T200_N100_E1_332,0.345,0.345,0.345
FAVITES_output_logSI_contemp_T200_N100_E1_333,0.368,0.368,0.368
FAVITES_output_logSI_contemp_T200_N100_E1_334,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_335,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_336,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_339,0.450,0.450,0.450
FAVITES_output_logSI_contemp_T200_N100_E1_341,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_343,0.263,0.263,0.263
FAVITES_output_logSI_contemp_T200_N100_E1_347,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_348,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_349,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_350,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_352,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_354,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_359,0.192,0.192,0.192
FAVITES_output_logSI_contemp_T200_N100_E1_361,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_363,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_364,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_365,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_366,0.400,0.400,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_368,0.214,0.214,0.214
FAVITES_output_logSI_contemp_T200_N100_E1_369,0.312,0.312,0.312
FAVITES_output_logSI_contemp_T200_N100_E1_370,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_371,0.474,0.474,0.474
FAVITES_output_logSI_contemp_T200_N100_E1_375,0.444,0.444,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_378,0.455,0.455,0.455
FAVITES_output_logSI_contemp_T200_N100_E1_382,0.353,0.353,0.353
FAVITES_output_logSI_contemp_T200_N100_E1_383,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_384,0.750,0.750,0.750
FAVITES_output_logSI_contemp_T200_N100_E1_387,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_388,0.400,0.400,0.400
