sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_167,0.833,0.093,0.168
FAVITES_output_logSI_contemp_T200_N100_E1_168,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_169,0.800,0.059,0.110
FAVITES_output_logSI_contemp_T200_N100_E1_170,0.769,0.110,0.192
FAVITES_output_logSI_contemp_T200_N100_E1_171,0.750,0.035,0.066
FAVITES_output_logSI_contemp_T200_N100_E1_172,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_173,0.782,0.036,0.069
FAVITES_output_logSI_contemp_T200_N100_E1_174,0.615,0.138,0.225
FAVITES_output_logSI_contemp_T200_N100_E1_175,0.700,0.127,0.215
FAVITES_output_logSI_contemp_T200_N100_E1_176,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_177,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_178,0.333,0.095,0.148
FAVITES_output_logSI_contemp_T200_N100_E1_179,0.833,0.051,0.095
FAVITES_output_logSI_contemp_T200_N100_E1_180,0.680,0.061,0.112
FAVITES_output_logSI_contemp_T200_N100_E1_181,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_182,0.727,0.121,0.208
FAVITES_output_logSI_contemp_T200_N100_E1_183,0.885,0.071,0.131
FAVITES_output_logSI_contemp_T200_N100_E1_184,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_185,0.950,0.170,0.288
FAVITES_output_logSI_contemp_T200_N100_E1_187,0.714,0.086,0.153
FAVITES_output_logSI_contemp_T200_N100_E1_188,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_189,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_190,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_191,0.600,0.375,0.462
FAVITES_output_logSI_contemp_T200_N100_E1_192,0.714,0.042,0.080
FAVITES_output_logSI_contemp_T200_N100_E1_193,0.571,0.143,0.229
FAVITES_output_logSI_contemp_T200_N100_E1_194,0.889,0.068,0.126
FAVITES_output_logSI_contemp_T200_N100_E1_195,0.810,0.098,0.174
FAVITES_output_logSI_contemp_T200_N100_E1_196,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_197,0.783,0.071,0.130
FAVITES_output_logSI_contemp_T200_N100_E1_198,0.667,0.063,0.115
FAVITES_output_logSI_contemp_T200_N100_E1_199,0.846,0.086,0.155
FAVITES_output_logSI_contemp_T200_N100_E1_200,0.765,0.351,0.481
FAVITES_output_logSI_contemp_T200_N100_E1_202,0.333,0.100,0.154
FAVITES_output_logSI_contemp_T200_N100_E1_203,0.920,0.041,0.078
FAVITES_output_logSI_contemp_T200_N100_E1_204,0.889,0.165,0.278
FAVITES_output_logSI_contemp_T200_N100_E1_206,0.714,0.053,0.098
FAVITES_output_logSI_contemp_T200_N100_E1_207,0.909,0.086,0.157
FAVITES_output_logSI_contemp_T200_N100_E1_208,0.771,0.054,0.101
FAVITES_output_logSI_contemp_T200_N100_E1_209,0.833,0.048,0.091
FAVITES_output_logSI_contemp_T200_N100_E1_210,0.925,0.065,0.121
FAVITES_output_logSI_contemp_T200_N100_E1_211,0.800,0.145,0.246
FAVITES_output_logSI_contemp_T200_N100_E1_212,0.568,0.042,0.078
FAVITES_output_logSI_contemp_T200_N100_E1_213,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_214,0.919,0.054,0.102
FAVITES_output_logSI_contemp_T200_N100_E1_216,0.897,0.085,0.156
FAVITES_output_logSI_contemp_T200_N100_E1_217,0.955,0.099,0.179
FAVITES_output_logSI_contemp_T200_N100_E1_218,0.667,0.123,0.208
FAVITES_output_logSI_contemp_T200_N100_E1_219,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_220,0.588,0.065,0.118
FAVITES_output_logSI_contemp_T200_N100_E1_221,0.825,0.047,0.088
FAVITES_output_logSI_contemp_T200_N100_E1_222,0.778,0.114,0.199
FAVITES_output_logSI_contemp_T200_N100_E1_223,0.750,0.300,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_224,0.750,0.167,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_225,0.273,0.054,0.090
FAVITES_output_logSI_contemp_T200_N100_E1_226,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_227,0.900,0.164,0.277
FAVITES_output_logSI_contemp_T200_N100_E1_228,0.636,0.125,0.209
FAVITES_output_logSI_contemp_T200_N100_E1_229,0.878,0.037,0.070
FAVITES_output_logSI_contemp_T200_N100_E1_230,0.892,0.066,0.122
FAVITES_output_logSI_contemp_T200_N100_E1_231,1.000,0.500,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_232,0.833,0.067,0.123
FAVITES_output_logSI_contemp_T200_N100_E1_233,0.895,0.051,0.096
FAVITES_output_logSI_contemp_T200_N100_E1_234,0.857,0.214,0.343
FAVITES_output_logSI_contemp_T200_N100_E1_235,0.667,0.500,0.571
FAVITES_output_logSI_contemp_T200_N100_E1_236,0.700,0.127,0.215
FAVITES_output_logSI_contemp_T200_N100_E1_237,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_238,0.806,0.058,0.108
FAVITES_output_logSI_contemp_T200_N100_E1_239,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_240,0.833,0.133,0.230
FAVITES_output_logSI_contemp_T200_N100_E1_241,0.571,0.087,0.151
FAVITES_output_logSI_contemp_T200_N100_E1_243,0.700,0.127,0.215
FAVITES_output_logSI_contemp_T200_N100_E1_244,0.600,0.200,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_245,0.885,0.034,0.065
FAVITES_output_logSI_contemp_T200_N100_E1_246,0.810,0.046,0.086
FAVITES_output_logSI_contemp_T200_N100_E1_247,0.500,0.286,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_248,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_249,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_250,0.750,0.300,0.429
FAVITES_output_logSI_contemp_T200_N100_E1_251,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_252,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_253,0.676,0.047,0.088
FAVITES_output_logSI_contemp_T200_N100_E1_254,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_255,0.806,0.054,0.101
FAVITES_output_logSI_contemp_T200_N100_E1_256,0.500,0.066,0.117
FAVITES_output_logSI_contemp_T200_N100_E1_259,0.667,0.133,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_260,0.744,0.039,0.074
FAVITES_output_logSI_contemp_T200_N100_E1_261,0.808,0.070,0.128
FAVITES_output_logSI_contemp_T200_N100_E1_262,0.793,0.070,0.128
FAVITES_output_logSI_contemp_T200_N100_E1_263,0.857,0.068,0.126
FAVITES_output_logSI_contemp_T200_N100_E1_264,0.667,0.333,0.444
FAVITES_output_logSI_contemp_T200_N100_E1_267,0.667,0.250,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_268,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_269,0.696,0.069,0.125
FAVITES_output_logSI_contemp_T200_N100_E1_270,0.800,0.084,0.152
FAVITES_output_logSI_contemp_T200_N100_E1_271,0.812,0.107,0.190
FAVITES_output_logSI_contemp_T200_N100_E1_272,0.500,0.143,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_274,0.571,0.400,0.471
FAVITES_output_logSI_contemp_T200_N100_E1_275,0.714,0.145,0.241
FAVITES_output_logSI_contemp_T200_N100_E1_276,0.923,0.152,0.261
FAVITES_output_logSI_contemp_T200_N100_E1_277,0.859,0.030,0.058
FAVITES_output_logSI_contemp_T200_N100_E1_278,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_281,0.583,0.079,0.139
FAVITES_output_logSI_contemp_T200_N100_E1_282,0.714,0.227,0.345
FAVITES_output_logSI_contemp_T200_N100_E1_283,0.600,0.200,0.300
FAVITES_output_logSI_contemp_T200_N100_E1_284,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_285,0.667,0.133,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_286,0.667,0.250,0.364
FAVITES_output_logSI_contemp_T200_N100_E1_287,0.500,0.200,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_288,0.907,0.045,0.086
FAVITES_output_logSI_contemp_T200_N100_E1_290,0.765,0.107,0.187
FAVITES_output_logSI_contemp_T200_N100_E1_291,0.833,0.128,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_292,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_293,0.857,0.197,0.320
FAVITES_output_logSI_contemp_T200_N100_E1_294,0.817,0.035,0.068
FAVITES_output_logSI_contemp_T200_N100_E1_295,0.500,0.333,0.400
FAVITES_output_logSI_contemp_T200_N100_E1_296,0.806,0.070,0.129
FAVITES_output_logSI_contemp_T200_N100_E1_298,0.826,0.127,0.220
FAVITES_output_logSI_contemp_T200_N100_E1_299,0.879,0.076,0.139
FAVITES_output_logSI_contemp_T200_N100_E1_300,0.846,0.047,0.089
FAVITES_output_logSI_contemp_T200_N100_E1_301,0.583,0.090,0.156
FAVITES_output_logSI_contemp_T200_N100_E1_302,0.812,0.063,0.118
FAVITES_output_logSI_contemp_T200_N100_E1_303,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_304,0.800,0.103,0.182
FAVITES_output_logSI_contemp_T200_N100_E1_305,0.667,0.103,0.178
FAVITES_output_logSI_contemp_T200_N100_E1_306,0.787,0.039,0.074
FAVITES_output_logSI_contemp_T200_N100_E1_307,0.714,0.227,0.345
FAVITES_output_logSI_contemp_T200_N100_E1_308,0.625,0.046,0.085
FAVITES_output_logSI_contemp_T200_N100_E1_309,0.571,0.235,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_310,0.833,0.128,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_311,0.771,0.051,0.095
FAVITES_output_logSI_contemp_T200_N100_E1_312,0.867,0.047,0.090
FAVITES_output_logSI_contemp_T200_N100_E1_314,0.286,0.111,0.160
FAVITES_output_logSI_contemp_T200_N100_E1_315,0.500,0.200,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_316,0.500,0.200,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_317,0.808,0.034,0.066
FAVITES_output_logSI_contemp_T200_N100_E1_318,0.875,0.304,0.452
FAVITES_output_logSI_contemp_T200_N100_E1_319,0.846,0.063,0.117
FAVITES_output_logSI_contemp_T200_N100_E1_320,0.769,0.062,0.116
FAVITES_output_logSI_contemp_T200_N100_E1_322,0.815,0.073,0.133
FAVITES_output_logSI_contemp_T200_N100_E1_323,0.714,0.065,0.118
FAVITES_output_logSI_contemp_T200_N100_E1_324,0.800,0.084,0.152
FAVITES_output_logSI_contemp_T200_N100_E1_325,0.400,0.133,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_326,0.800,0.043,0.082
FAVITES_output_logSI_contemp_T200_N100_E1_327,0.000,0.000,0.000
FAVITES_output_logSI_contemp_T200_N100_E1_328,0.795,0.049,0.092
