sample_name,sensitivity,specificity,f1
FAVITES_output_logSI_contemp_T200_N100_E1_356,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_358,0.323,0.323,0.323
FAVITES_output_logSI_contemp_T200_N100_E1_359,0.115,0.115,0.115
FAVITES_output_logSI_contemp_T200_N100_E1_360,0.129,0.129,0.129
FAVITES_output_logSI_contemp_T200_N100_E1_361,0.667,0.667,0.667
FAVITES_output_logSI_contemp_T200_N100_E1_362,0.367,0.367,0.367
FAVITES_output_logSI_contemp_T200_N100_E1_363,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_364,0.214,0.214,0.214
FAVITES_output_logSI_contemp_T200_N100_E1_365,0.375,0.375,0.375
FAVITES_output_logSI_contemp_T200_N100_E1_366,0.200,0.200,0.200
FAVITES_output_logSI_contemp_T200_N100_E1_367,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_368,0.286,0.286,0.286
FAVITES_output_logSI_contemp_T200_N100_E1_369,0.250,0.250,0.250
FAVITES_output_logSI_contemp_T200_N100_E1_370,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_371,0.263,0.263,0.263
FAVITES_output_logSI_contemp_T200_N100_E1_372,0.035,0.035,0.035
FAVITES_output_logSI_contemp_T200_N100_E1_373,0.188,0.188,0.188
FAVITES_output_logSI_contemp_T200_N100_E1_374,0.282,0.282,0.282
FAVITES_output_logSI_contemp_T200_N100_E1_375,0.222,0.222,0.222
FAVITES_output_logSI_contemp_T200_N100_E1_376,0.500,0.500,0.500
FAVITES_output_logSI_contemp_T200_N100_E1_377,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_378,0.409,0.409,0.409
FAVITES_output_logSI_contemp_T200_N100_E1_379,0.273,0.273,0.273
FAVITES_output_logSI_contemp_T200_N100_E1_380,0.081,0.081,0.081
FAVITES_output_logSI_contemp_T200_N100_E1_381,0.333,0.333,0.333
FAVITES_output_logSI_contemp_T200_N100_E1_382,0.647,0.647,0.647
FAVITES_output_logSI_contemp_T200_N100_E1_383,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_384,1.000,1.000,1.000
FAVITES_output_logSI_contemp_T200_N100_E1_385,0.278,0.278,0.278
